,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
324121,20201106,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
335026,20201113,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
346757,20201120,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
357386,20201127,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
368956,20201204,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
379824,20201211,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
389795,20201218,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
399031,20201225,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
408173,20210101,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
417464,20210108,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×"
